"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"VaPa: Digitaalisten medioiden hyödyntäminen","2016-02-18","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","null","null","null","Vapa/Museopalvelut","1136","MIP Museopalveluiden rakennus- ja arkeologisten tietokantojen eheytys","2019-12-31","Turun museokeskus toimii myös Varsinais-Suomen maakuntamuseona opetusministeriön määräämällä alueella. Varsinais-Suomen maakuntamuseon yhtenä keskeisenä tehtävänä on edistää kulttuuriympäris-tön säilymistä omalla toiminta-alueellaan. Tehtävään liittyy oleellisesti kulttuuriympäristötiedon kartuttami-nen sekä sen saatavuuden että käytön edistäminen. \r\n\r\nMuseon inventointiportaali – MIP otettiin käyttöön pilottina vuonna 2011. Samaan tietokantaan saatiin tuolloin tallennettua museon rakennusinventointiin liittyvät tietokannat, aiemmin erillään olleet tekstitiedot, paikkatiedot ja valokuvat sekä muut liitteet. MIP toimii perustyökaluna rakennusperintötietojen keräämi-sessä, tallentamisessa ja jakelussa.\r\n\r\nKehittämisessä on huomioitu tiedon jakamisen mahdollisuudet rajapintojen välityksellä, sekä toimiva työn-jako eri organisaatioiden välillä päällekkäisen työn karsimiseksi. Portaalissa pystytään hyödyntämään muiden organisaatioiden tarjoamia palvelurajapintoja ja rajapinnan kautta pysytään myös jakamaan tuo-tettua tietoa ajantasaisesti. \r\n\r\nMIPiin tallennettua kulttuuriympäristötietoa tarvitaan mm. maankäytön ja rakennusten suunnittelussa, rakennuslupien käsittelyssä, tutkimuksessa, opetuksessa, matkailu-, kulttuuri- ja kotiseututyössä. MIP on tarkoitettu viranomaiskäyttöön, mutta siltä osin, kuin tietoa, henkilöntietosuoja- ym. lait huomioiden, voi-daan julkaista, niin sitä avataan kaikkien kansalaisten käyttöön. \r\n\r\nRakennusperintöportaali valmistui vuoden 2017 lopussa. Tiedon julkaisu- ja avaustoiminnot ovat myös valmiit, ja joitakin rakennusinventointitietoja on jo julkaistu avoimena datana. Tietosisällön julkaisu laajasti vaati aineiston läpikäyntiä museolla (yli 40 000 kiinteistöä, yli 100 000 rakennusta).  \r\n\r\nArkeologisen tietokannan kehittäminen jatkuu vuoden 2020 loppuun asti. Löytöjen luettelointiosio otettiin pilottina käyttöön syksyllä 2018. Maaliskuussa 2019 otettiin käyttöön keskeiset arkeologiaan ja konser-vointiin liittyvät osat, mutta kokonaisuus on vielä kesken, eikä kaikkia tietoja voida tallentaa. \r\n\r\nSyksyllä 2020 tehdään MIPistä rajapinta Finnaan, jonka kautta voidaan julkasita valokuvia ja tieoja arkeologista löydöistä.","Asukas-, asiakas- ja henkilöstötarve","null","Vaikuttava ja uudistuva Turku"
"Uusien työ- ja tilankäyttökonseptien kehittäminen ","2016-06-21","Tilojen käyttöä tehostetaan uudistamalla toimintamalleja","Ei","null","null","25000.0","Tilapalvelukeskus","1176","Byråbo 20, ent. Toimistoverkkosuunnitelma","2024-03-31","Byråbo 20 -projekti tähtää Turun kaupungin toimistoverkon kehittämiseen. Tavoitteena on keskittää kaupungin hallintoa lähemmäs toisiaan ja tiivistää nykyistä  toimipisteverkkoa. Perinteisen tilahankkeen rinnalla panostetaan työympäristön kehittämiseen laajempana kokonaisuutena, jossa fyysisten työskentelytilojen ohessa kehitetään myös organisaation virtuaalista ja sosiaalista työympäristöä. Tätä kehitystä tukemaan on laadittu työskentely- ja toimitilakonsepti, jonka pohjalta jatkossa kaupungin toimistotiloja suunnitellaan. Tavoitteena on siirtyä monitilatoimistomalliin, jossa tapa käyttää tiloja on erilainen, kuin perinteisessä huonetoimistossa. \r\n\r\nTyöympäristökehittämisellä tavoitellaan seuraavia asioita:\r\n-	Henkilöstön viihtymisen ja työnantajan imagon parantaminen\r\n-	Uudenlaisten työtapojen edistäminen\r\n-	Kustannussäästöjen aikaansaaminen\r\n\r\nToimistoverkon kehittämiseen liittyvä tilatarveselvitys käsittää toimintojen keskittämisen noin yhdeksästä kohteesta yhteen tai kahteen kohteeseen. Henkilömäärässä mitattuna hanke koskee noin 1000 toimistossa työskentelevää hallinnon henkilöä ja asiantuntijaa. Tarkoituksena on keskittää toiminnot joko uusiin tai peruskorjattuihin tiloihin keskustan alueella. Päätös toimistoratkaisun sijoituksesta on tarkoitus tehdä syksyllä 2019 ja tämän jälkeen käynnistää yksityiskohtaisempi hankesuunnitteluprosessi.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Vaikuttava ja uudistuva Turku"
"Smart and Wise Turku/Liikenne ja Liikkuminen","2015-10-30","Ympäristön kannalta kestävää liikennettä ja liikkumista edistetään eheää kaupunkirakennetta hyödyntämällä","Kyllä","Varsinais-Suomen Liitto£Valtionhallinto|Western-Systems£Yritys|Gasum Oy£Yritys|Kaupunkiliikenne Oy£Konserniyhtiö tai yhteisö|Turun Ammattikorkeakoulu£Korkeakoulu tai oppilaitos|Liikkennealan yritykset£Yritys","null","null","Konha/Kaupunkikehitysryhmä","1349","Civitas Eccentric","2020-11-30","Suomen ensimmäisellä CIVITAS-kaupungilla Turulla on puitteet kehittyä todelliseksi kansainväliseksi kestävien ratkaisujen mallikaupungiksi.  Nelivuotisessa EU:n Horizon 2020 -rahoitteisessa CIVITAS ECCENTRIC -hankkeessa kehitetään fiksua liikkumista. Hankkeessa kehitetään sähköistä liikennettä, autojen ja pyörien yhteiskäyttöä sekä liikkuminen palveluna -mallia (Mobility as a Service, MaaS). Painopistealueena on Kupittaa.\r\n\r\nHankkeen aikana kehitetään myös kävelyn ja pyöräilyn olosuhteita muun muassa pilotoimalla kaupunkipyöräjärjestelmä ja testaamalla pyöräilyn talviolosuhteissa pilottireitillä ja kiinnittämällä huomiota pyöräverkoston turvallisuuteen.\r\n\r\nTurku panostaa voimakkaasti puhtaisiin liikkumisratkaisuihin hiilineutraaliuden saavuttamiseksi muun muassa sähköistämällä joukkoliikennettä ja laajentamalla biopolttoaineiden käyttöä. CIVITAS ECCENTRIC:issä Gasum Oy testaa biokaasuautoja sekä biokaasun käytön lisääntymistä logistiikassa.\r\n\r\nCIVITAS ECCENTRIC:issä ovat mukana München, Madrid, Tukholma ja Ruse sekä laaja joukko eri tahoja (29). Turun yhteistyökumppaneina alueelta ovat Varsinais-Suomen liitto, Turun ammattikorkeakoulu, Western Systems Oy, Turun Kaupunkiliikenne Oy, Gasum Biovakka Oy. Konsortion viestintää tukee Turun kaupungin isännöimä Itämeren kaupunkien liiton Kestävien kaupunkien komissio. Turun ja sen paikallisten kumppanien rahoitusosuus on merkittävä noin 3,2 miljoonaa euroa vuosille 2016–2020.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Rakentuva kaupunki ja ympäristö"
"Sito/Ammatillisen koulutuksen reformi","2017-12-01","Vuonna 2017 nuorisotakuu toteutuu laajan poikkihallinnollisen yhteistyön tuloksena","Ei","null","Koulutus ja päivähoito","464722.74","Sivistystoimiala","1399","365/12 - 6Aika","2020-05-31","365/12 - Aina avoin ammatillinen oppilaitos -projektissa tavoitteena on kehittää 365/12-malli ammatillisesta oppilaitoksesta, jossa opiskelu on mahdollista missä ja milloin vain, mikä puolestaan tekee opiskelusta aiempaa nopeampaa ja joutavampaa. Mallin sisällön voi tiivistää kolmeen sanaan: nopeammin, paremmin, ketterämmin. \r\n\r\nUusi malli mahdollistaa entistä nopeamman opiskelun ja työelämään siirtymisen sekä välittömän reagoinnin uusiin tilanteisiin. Lisäksi malli tehostaa yritysten kanssa tehtävää yhteistyötä, jonka tavoitteena on uusien innovaatioiden ja liiketoimintaideoiden syntyminen. Mallin avulla parannetaan myös ammatillisen koulutuksen läpäisyä sekä opiskelijoiden, opettajien, ohjaajien ja työelämän edustajien osaamista.\r\n\r\nTavoitteen saavuttamiseksi kehitetään erilaisia uusia fyysisiä (esim. yrityskampus, projektit ja laboratoriot) ja virtuaalisia (esim. virtuaalikylä ja virtuaaliset työpaikat) oppimisympäristöjä. Lisäksi kehitetään toimintamalleja, jotka hyödyntävät opetuksen järjestämisessä eri alojen yhteisiä oppimisympäristöjä ja eri alojen opettajien ja opiskelijoiden osaamisen jakamista ja toisilta oppimista. Myös työelämä osallistuu uudenlaisten oppimismahdollisuuksien ja -ympäristöjen kehittämiseen. \r\n\r\n365/12-malli koostuu seuraavista kehittämisen kärjistä:\r\n- yritys-oppilaitosyhteistyö uusien innovaatioiden ja liiketoimintaideoiden luojana\r\n- yrittäjyys vahvana osana opintoja\r\n- työelämän tarpeista muodostettavat monialaiset opintopolut\r\n- virtuaaliset ja digitaaliset opinnot osana oppimista\r\n- osaamiskeskukset opintojen ohjauksen ja opetusmenetelmien tukena\r\n- työpaikalla tapahtuvan oppimisen ja ohjauksen kehittäminen digitaalisin välinein.\r\n\r\nProjekti toteutetaan verkostohankkeena, jossa Turun kaupungin lisäksi ovat mukana Espoon seudun koulutuskuntayhtymä Omnia, Tampereen seudun ammattiopisto Tredu ja Oulun seudun koulutuskuntayhtymä OSAO. Projektin rahoittaa Euroopan sosiaalirahasto, Hämeen ELY-keskus ja toteuttajaorganisaatiot.\r\n\r\nHaluatko tietää lisää projektista? http://www.koulutustakuu.fi/365-12/","Pakottava ulkoinen (lakimuutos jne)","Maahanmuuttajat|Nuoret|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Osaava ja oppiva turkulainen"
"Lakiasiat","2018-12-31","Parempaa johtamista ja päätöksentekoa tuetaan tiedonhallintaa parantamalla","Ei","Sopimuskumppanit£|Sopimuksia tekevät organisaatio-osat£Oma organisaatio|Seudullisissa sopimuksissa mukana olevat£Kaupunki, kunta tai seutukunta","Hallinto ja päätökset","350000.0","Konha/Hallintoryhmä","1426","Sopimushallinnan kehittäminen","2020-06-01","Projektin tavoitteena on kehittää ja uudistaa Turun kaupungin sopimushallintaa sekä tehostaa sopimuksiin liittyvien varojen käyttöä. Kaupungissa tullaan ottamaan käyttöön kaikkia toimialoja koskeva yhteinen sopimushallintaa ohjaava sähköinen ratkaisu, joka mahdollistaa yhteisten käytäntöjen ja toimintatapojen luomisen. Sähköisessä sopimushallinnan ratkaisussa yhdistetään rajapintojen avulla tiedonkulku jo käytössä oleviin järjestelmiin. \r\n\r\nYhtenäisellä toiminnan ohjeistuksella, sopimusten hallintamalleilla sekä tätä tukevalla sähköisellä ratkaisulla varmistetaan sopimusten taloudellisten ja toiminnallisten tavoitteiden toteutuminen sekä sitä kautta vahvistetaan kaupunkistrategien totetumista julkisten varojen tehokkaamman käytön, uudistumisen ja toiminnan kehittämisen osalta. Kuntalaisille toteutettujen ulkoistettujen palveluiden laatua pystytään myös paremmin valvomaan. Tehokkaamman sopimushallinnan tavoitteena on lisäksi taloudellisten riskien minimoiminen sopimusten ollessa asianmukaisesti talletettuna ja oikeiden henkilöiden saatavilla.\r\n\r\n\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Vaikuttava ja uudistuva Turku"
"Sito/Ammatillisen koulutuksen reformi","2017-03-01","Tuetaan työllisyyden paranemista uudistamalla kaupungin työllistämistoimintaa ja lisäämällä maahanmuuttajien työelämäyhteyksiä","Ei","null","Koulutus ja päivähoito","276149.99999999994","Sito/Ammatillinen koulutus","1434","AboaNova - Maahanmuuttajien kotoutumisen edistäminen Turun seudulla","2020-02-29","Projektin tavoitteena on nopeuttaa maahanmuuttajien siirtymistä kielikoulutuksesta muihin koulutuksiin ja työelämään sekä yrittäjiksi kehittämällä uusia, entistä työelämälähtöisempiä kielikoulutuksen toteutustapoja. Lisäksi kehitetään ohjaus- ja tukitoiminnan ja digitaalisen ohjauksen malleja niin, että ne saumattomasti tukevat edellä esitettyjen tavoitteiden saavuttamista.\r\n\r\nTavoitteena on myös lisätä maahanmuuttajatyötä tekevien verkostoyhteistyötä kehittämällä yhteisiä toimintatapoja, jotta olemassa olevia resursseja voidaan hyödyntää entistä tehokkaammin. Kansainvälisen yhteistyön tavoitteena on toisilta oppimisen ja yhteisen kehittämistyön avulla edistää maahanmuuttajien kotoutumista ja nopeampaa siirtymistä koulutukseen ja työelämään Itämeren alueella.\r\n\r\nProjekti toteutetaan verkostohankkeena, jossa Turun kaupungin lisäksi ovat mukana Turun AKK, Turun kristillinen opisto ja Siirtolaisuusinstituutti. Projektin rahoittaa Euroopan sosiaalirahasto, Keski-Suomen ELY-keskus ja toteuttajaorganisaatiot.\r\n","Mahdollistava (yhteistyö, rahoitus jne)","Maahanmuuttajat|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Yrittävä ja osaava Turku"
"Vapa: Kansalaistaidot ja saavutettavuus","2016-09-05","Aktiivista elämäntapaa edistävät palvelut kohdennetaan hyödyntämällä paremmin asiakas- ja asukastietoa","Ei","henkilöstö£Oma organisaatio|nuoret£Asiakas tai asukas","null","18600.0","Vapa/Nuorisopalvelut","1438","OBU - Nuorisopalveluiden osallistuva budjetointi","2020-03-31","Osallistuva budjetointi on demokraattisen keskustelun ja päätöksenteon prosessi. Taustalla on ajatus osallistuvasta demokratiasta, jossa nuoret päättävät, miten nuorisopalveluiden käytössä olevia julkisia varoja jaetaan ja käytetään. Osallistuva budjetointi antaa nuorille valtaa tehdä todellisia päätöksiä ja päättää, kuinka rahaa käytetään.\r\n\r\nOsallistuvassa budjetoinnissa nuoret oppivat, miten kaupunki toimii. Nuorelle syntyy kokemus siitä, että hänen kokemuksellaan ja mielipiteellään on arvoa ja merkitystä. Yhdessä toiminen opettaa nuorta suhteuttamaan omia toiveitaan toisten tarpeisiin. \r\n\r\nNuorisotyön suunnittelun lähtökohtana ovat kaikki alueen nuoret. Monialaista yhteistyötä lisätään, koska monet nuorten ideat eivät rajoitu nuorisopalveluiden vastuisiin.\r\n\r\nNuoret ovat itse päättämässä heille osoitettujen rahojen käytöstä. Tätä varten luodaan monikanavainen osallistavan budjetoinnin malli, joka otetaan käyttöön Tekemällä oppimisen yksikön toiminnassa.\r\n","Muu","null","Aktiivinen turkulainen"
"Sito/STEAM Turku","2017-12-07","Turun seudulla monipuoliset sivistyspalvelut saadaan esteettömästi kaikkien ulottuville hyödyntämällä uuden teknologian tarjoamia mahdollisuuksia ja alueellista yhteistyötä","Ei","Turun AMK£Korkeakoulu tai oppilaitos|Turun yliopisto£Korkeakoulu tai oppilaitos|Uudenmaan liitto£Rahoittaja|6Aika£Rahoittaja","Elinkeinoelämä ja liiketoiminta|Koulutus ja päivähoito|Tekniikka ja teknologia","858961.0","Sivistystoimiala","1447","Tulevaisuuden älykkäät oppimisympäristöt","2020-11-30","6Aika: Tulevaisuuden älykkäät oppimisympäristöt -projektin tavoitteena on tuoda markkinoille aiempaa parempia ja laadukkaampia oppimisen ja opetuksen ratkaisuja. Tulevaisuuden oppimisympäristöt ja niihin tarjottavat tuotteet suunnitellaan ja toteutetaan yhdessä käyttäjien kanssa. Turun päiväkodit, koulut, ammatillinen koulutus ja lukiokoulutus osallistuvat kaikki uudenlaisen yritysyhteistyön kehittämiseen. \r\n\r\nYritysten kanssa tehtävä kehittämistyö toteutetaan osana opetusta. Se tukee lasten ja nuorten tulevaisuuden työelämätaitoja ja antaa uudenlaisen näkökulman yrittäjyyskasvatukseen. Lapset, oppilaat ja opiskelijat pääsevät näkemään miten tuotteisiin ja palveluihin ehdotettavat muutokset ja korjaukset toteutetaan ja omilla mielipiteillä ja ideoilla on vaikutusta lopputulokseen.  \r\n\r\nPerusopetus ja varhaiskasvatus osallistuvat yritysten tuotekehitykseen mm. luokkahuoneita ja opetustiloja koskevissa ratkaisuissa, digitaalisten oppimisympäristöjen ja sovellusten suunnittelussa sekä oppimisanalytiikan hyödyntämisessä. \r\n\r\nAmmatillinen koulutus rakentaa Turun Yli-Maariaan kymmenen omakotitalon korttelia. Älykäs rakentaminen, asuminen ja oppiminen rakennustyömaalla ovat älykkään korttelin päätavoitteet. Rakennustyömaalla kehitetään mm. työturvallisuutta, rakentamisen aikaista dokumentointia, sensoriteknologiaa ja testataan uudenlaisten rakennusmateriaalien ja pinnoitteiden käyttöä oppimisympäristöissä. \r\n\r\nLukiokoulutuksen tavoitteena on kehittää Turun Aurajokirantaa ja Ruissaloa virtuaalisen todellisuuden oppimisympäristönä mm. toimittamalla tutkittua tietoa ja materiaaleja yritysten käyttöön. \r\n\r\n6Aika on Suomen kuuden suurimman kaupungin – Helsingin, Espoon, Vantaan, Tampereen, Turun ja Oulun – yhteinen kestävän kaupunkikehityksen strategia.  Strategialla vastataan haasteisiin, joita kaupungistuminen tuo. Haluamme kehittää kaupunkeja entistä älykkäämmiksi ja vastata palveluilla kaupunkilaisten aitoihin tarpeisiin. 6Aika-strategian tavoitteena on synnyttää Suomeen uutta osaamista, liiketoimintaa ja työpaikkoja. Hankkeet ovat 6Ajan moottoreita ja Turussa 6Aika-hankkeilla tehdään näkyväksi kaupungin kärkihankkeita kuten Keskustakehittämistä, Tiedepuistoaluetta ja Smart and Wice Turkua. \r\n\r\nLisää tietoa\r\nwww.oppimisenuusiaika.fi\r\nwww.6aika.fi","Kaupunkistrategia 2029 ja strategiset ohjelmat","Viranomaiset|Yritykset","Osaava ja oppiva turkulainen"
"Tämä on hanke","null","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","Koulut£Asiakas tai asukas|Taidelaitokset£Muu","null","null","Vapa/Kirjastopalvelut","1554","Taidetestaajat","null","Taidetestaajat on valtakunnallinen hanke, jota pääkoordinoi Suomen lastenkulttuurikeskusten liitto. Hankkeen rahoittajina toimivat Suomen kulttuurirahasto ja Svenska kulturfonden. Turun vapaa-aikatoimiala koordinoi hankkeen Varsinais-Suomen ja Ahvenanmaan alueiden toiminnan.\r\n\r\nTaidetestaajat-hankkeessa kaikki Suomen kahdeksasluokkalaiset vierailevat niin oman maakuntansa kuin pääkaupunkiseudun taidekohteissa, kuten museoissa ja teattereissa. Taidevierailuja tehdään kolmen lukuvuoden ajan (2017-2020). \r\n\r\nTavoitteena on nuorten aktivointi kulttuurin ja taiteen harrastajiksi niin yleisönä kuin aktiivisina toimijoina. Kahdeksasluokkalaiset pääsevät kokemaan taide-elämyksiä ja kasvattamaan kulttuurikompetenssiaan tutustumalla taidekohteisiin ja siihen, minkälaista taidetta on olemassa.\r\n\r\nHankkeessa mukana olevilla taidelaitoksilla on mahdollisuus saada suoraa palautetta nuorilta ja tämän pohjalta kehittää nuorille suunnattua ohjelmistoaan sekä yleisötyötään.\r\n\r\nTavoitteena on parantaa taiteen saavutettavuutta nuorten keskuudessa ja saada entistä paremmin nuorten ääni ja mielipide kuuluviin taide- ja kulttuurialalla.\r\n\r\nHankkeen tuotoksena taidelaitosvierailujen yhteydessä nuorilta kerätään palautetta ja kommentteja heidän taidekokemuksistaan.\r\n\r\nKolmen lukuvuoden aikana Varsinais-Suomessa ja Ahvenanmaalla nuoret tekevät yhteensä noin 33 000 taidevierailua.","Suomi 100","null","Aktiivinen turkulainen"
"VaPa: Digitaalisten medioiden hyödyntäminen","2017-04-11","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","Varsinais-Suomen museot£Kaupunki, kunta tai seutukunta","Kulttuuri ja liikunta","null","Vapa/Museopalvelut","1572","Uuden kokoelmanhallintajärjestelmän käyttöönotto","null","Turun museokeskus uusii kokoelmahallintajärjestelmänsä, jossa säilytetään, täydennetään ja haetaan museon kokoelmiin liittyviä tietoja. Museon käytössä olevan kokoelmahallintajärjestelmä WebMusketin ylläpito on lopetettu, joten se on vaihdettava uuteen. Samalla on tarkoitus luopua muista museon kokoelmahallintajärjestelmistä. Kaikki kokoelmatiedot keskitetään yhteen järjestelmään, johon voidaan luetteloida taideteokset, valokuvat, arkistoaineistot, kulttuurihistorialliset esineet sekä luonnontieteelliset kokoelmat. Uudella järjestelmällä on rajapinta valtakunnalliseen Finna-verkkopalveluun.\r\n\r\nJärjestelmävaihdoksen tavoitteena on parantaa museon kokoelmatietojen saavutettavuutta ja vapauttaa henkilöstön työaikaa muihin kokoelmahallinnan tehtäviin. Uuteen järjestelmään tulee julkinen käyttöliittymä, jossa niin tutkijat, harrastajat kuin laaja yleisö voivat etsiä tietoja kokoelmista kattavammin kuin valtakunnallisessa Finna-palvelussa.\r\n\r\nLisäksi kokoelmatietokannan käytettävyyttä parannetaan kehittyneemmillä hakutoiminnoilla sekä hakutuloksia parantavilla asiasanoitustoiminnoilla. Myös rajapinnat ulkoisiin palveluihin (kuten Finna ja PAS) turvataan. \r\n\r\nUuden järjestelmän ansiosta suuria alkuperäisiä kuvatiedostoja ei tarvitse säilyttää järjestelmän ulkopuolella, eli E-kuva -järjestelmästä voidaan luopua.\r\nProjektin tuotoksena syntyy keskitetty, tietoturvan vaateet täyttävä ja edullinen palvelinratkaisu. Useimmat Varsinais-Suomen museoista tulevat uuden yhteisen järjestelmän piiriin.\r\n","Asukas-, asiakas- ja henkilöstötarve","Aikuiset|Matkailijat|Yhdistykset ja yhteisöt","Vaikuttava ja uudistuva Turku"
"KYTO digitalisaatio","2017-10-23","Tuloksellisuutta parannetaan hyvällä johtamisella, uusilla toimintatavoilla ja niitä tukevilla työvälineillä","Ei","Maanomistajat£Asiakas tai asukas|Urakoitsijat£Yritys|Konsultit£Yritys|Asukkaat (nykyiset ja tulevat)£Asiakas tai asukas|Media£Media|Konserniyhtiöt£Konserniyhtiö tai yhteisö|Yritykset£Yritys","null","145000.0","Kaupunkiympäristötoimiala","1584","DigiKYTO vaihe 1: Asemakaavoituksesta tontinluovutukseen","2021-05-31","Turussa kaavoitusprosessia on kehitetty ja digitalisoitu viime vuosina. Koko maankäytön prosessia kaavoituksesta tontinluovutukseen tulee sujuvoittaa uudella, yhtenäisellä toimintatavalla.\r\n\r\nKaikki tieto maankäytön hankkeesta ja sen etenemisestä tulee olla ajantasaista ja saatavilla yhdestä paikasta. Se hyödyttää niin johtamista, asiantuntijoita, kuntalaisia, päättäjiä ja muita tietoja tuottavia ja tarvitsevia konsultteja sekä asiantuntijaryhmiä.\r\n\r\nMaankäytön prosessit uudistetaan, sujuvoitetaan ja tehostetaan karsimalla turhat ja päällekkäiset työvaiheet kyseenalaistamalla nykyiset toimintatavat. Pelkästä dokumenttien ja asiakirjan hallinnasta mennään toiminnan ohjaukseen ja prosessien hallintaan. Tarjotaan kuntalaisille ajantasaista paikkatietoa käynnissä olevista ja tulevista infra-rakennusprojekteista.\r\n\r\nMaankäytön prosesseihin liittyvät dokumentit, raportit ja seurannat saadaan suoraan järjestelmästä, jolla luodaan pohja tehokkaalle tietojohtamiselle. Raportointi pyritään automatisoimaan mahdollisimman pitkälle. Konsulttien, urakoitsijoiden ja muiden erityisasiantuntijoiden on mahdollista toimia samassa tuotanto-ympäristössä.\r\n","Muu","null","Vaikuttava ja uudistuva Turku"
"null","2017-06-07","Tuottavuutta ja uudistumiskykyä kasvatetaan edistämällä innovaatioita","Ei","Asiakas£Asiakas tai asukas|TKI-toimijat £Korkeakoulu tai oppilaitos|Yhditykset ja järjestöt£Kolmas sektori|Alueen yritykset£Yritys","Elinkeinoelämä ja liiketoiminta|Hallinto ja päätökset|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","453808.0","Konha/Elinkeino ja osaaminen","1623","6Aika/kaupunkikoordinaatio 2017-2021","2021-07-31","6Aika-strategia tukee Suomen kuuden suurimman kaupungin (Helsingin, Espoon, Vantaan, Tampereen, Turun ja Oulun) kestävää kaupunkikehitystä innovaatiotoiminnan yhteistyötä syventämällä ja laajentamalla. 6Aika-strategialla vastataan haasteisiin, joita kaupungistuminen tuo. Haluamme kehittää kaupunkeja entistä älykkäämmiksi ja vastata palveluilla kaupunkilaisten aitoihin tarpeisiin. 6Aika-strategian tavoitteena on synnyttää Suomeen uutta osaamista, liiketoimintaa ja työpaikkoja.\r\n\r\n6Aika-koordinaatiohankkeen tarkoituksena on vuosina 2017-2020 tukea kaupungin toimialoja ja muita toimijoita kaupungille tärkeiden kehittämistarpeiden tunnistamisessa, pilottihankkeiden hakuprosesseis-sa ja rahoituksen saamisessa. Koordinaatiotyötä tehdään yhteistyössä muiden kuutoskaupunkien ja verkostojen kanssa. Hanke tukee myös käynnissä olevia 6Aika-hankkeita sekä kokoaa, levittää ja soveltaa eri hankkeissa saatuja tuloksia niin paikallisesti, seudullisesti ja kansallisesti. Kansanvälinen yhteistyö 6Aika-toiminnasta ja tulosten levittämisestä kuuluu koordinaatiohankkeen tehtäviin. \r\n\r\nHankkeet ovat 6Ajan moottoreita ja Turussa 6Aika-hankkeilla tehdään näkyväksi kaupungin kärkihank-keita kuten Keskustakehittämistä, Kupittaan Tiedepuistoaluetta ja Smart and Wise Turkua. Tarkoituksena on avata yrityksille mahdollisuuksia kokeilla tuotteiden ja palveluiden toimivuutta.” \r\n\r\nLisätietoja: www.6aika.fi\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Työnhakijat|Vammaiset|Vauvat ja taaperot|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Vaikuttava ja uudistuva Turku"
